"id","session","x","y","chosen","z","zscaled","time","trial","round","distance","type_choice","previous_reward"
1102,1,0,4,33,24,21,1734335820615,10,2,1,"Near",30
1102,1,1,4,34,40,32,1734335821238,11,2,1,"Near",24
1102,1,2,3,27,44,35,1734335821865,12,2,2,"Far",40
1102,1,2,2,19,28,24,1734335823624,13,2,1,"Near",44
1102,1,4,6,53,3,7,1734335824800,14,2,6,"Far",28
1102,1,1,5,42,26,23,1734335826542,15,2,4,"Far",3
1102,1,1,3,26,49,38,1734335827787,16,2,2,"Far",26
1102,1,2,4,35,50,39,1734335829762,17,2,2,"Far",49
1102,1,3,4,36,42,34,1734335830740,18,2,1,"Near",50
1102,1,3,5,44,34,28,1734335831865,19,2,1,"Near",42
1102,1,2,5,43,35,29,1734335832650,20,2,1,"Near",34
1102,1,0,5,41,22,20,1734335833507,21,2,2,"Far",35
1102,1,0,6,49,24,21,1734335834287,22,2,1,"Near",22
1102,1,1,6,50,23,21,1734335834861,23,2,1,"Near",24
1102,1,2,6,51,25,22,1734335835420,24,2,1,"Near",23
1102,1,3,6,52,18,17,1734335835932,25,2,1,"Near",25
1102,1,0,7,57,20,20,1734335837099,0,3,NA,NA,NA
1102,1,1,4,34,18,19,1734335838039,1,3,4,"Far",20
1102,1,0,2,17,22,22,1734335838937,2,3,3,"Far",18
1102,1,2,2,19,5,9,1734335839653,3,3,2,"Far",22
1102,1,3,1,12,18,19,1734335840474,4,3,2,"Far",5
1102,1,4,2,21,50,43,1734335841072,5,3,2,"Far",18
1102,1,4,3,29,31,29,1734335842016,6,3,1,"Near",50
1102,1,5,3,30,34,31,1734335842606,7,3,1,"Near",31
1102,1,5,2,22,43,38,1734335843213,8,3,1,"Near",34
1102,1,4,1,13,31,29,1734335844038,9,3,2,"Far",43
1102,1,5,1,14,35,32,1734335844553,10,3,1,"Near",31
1102,1,3,2,20,31,29,1734335845240,11,3,3,"Far",35
1102,1,3,3,28,9,12,1734335845772,12,3,1,"Near",31
1102,1,2,1,11,0,5,1734335848080,13,3,3,"Far",9
1102,1,4,2,21,49,42,1734335849741,14,3,3,"Far",0
1102,1,4,2,21,49,42,1734335850884,15,3,0,"Repeat",49
1102,1,4,2,21,52,45,1734335852520,16,3,0,"Repeat",49
1102,1,4,4,37,22,22,1734335853948,17,3,2,"Far",52
1102,1,4,5,45,16,17,1734335854725,18,3,1,"Near",22
1102,1,3,4,36,5,9,1734335855582,19,3,2,"Far",16
1102,1,6,4,39,47,41,1734335857206,20,3,3,"Far",5
1102,1,6,3,31,15,16,1734335858021,21,3,1,"Near",47
1102,1,7,4,40,20,20,1734335858811,22,3,2,"Far",15
1102,1,7,3,32,25,24,1734335859404,23,3,1,"Near",20
1102,1,4,2,21,50,43,1734335860277,24,3,4,"Far",25
1102,1,5,5,46,45,39,1734335861452,25,3,4,"Far",50
1102,1,0,1,9,27,22,1734335862489,0,4,NA,NA,NA
1102,1,1,3,26,38,29,1734335863546,1,4,3,"Far",27
1102,1,3,4,36,27,22,1734335864639,2,4,3,"Far",38
1102,1,3,2,20,27,22,1734335865430,3,4,2,"Far",27
1102,1,3,0,4,36,28,1734335866370,4,4,2,"Far",27
1102,1,5,5,46,30,24,1734335868403,5,4,7,"Far",36
1102,1,3,6,52,25,21,1734335869266,6,4,3,"Far",30
1102,1,1,5,42,25,21,1734335870098,7,4,3,"Far",25
1102,1,5,7,62,12,13,1734335871549,8,4,6,"Far",25
1102,1,7,4,40,50,37,1734335872640,9,4,5,"Far",12
1102,1,6,3,31,33,26,1734335873899,10,4,2,"Far",50
1102,1,6,2,23,32,25,1734335874622,11,4,1,"Near",33
1102,1,7,2,24,32,25,1734335875216,12,4,1,"Near",32
1102,1,7,3,32,39,30,1734335876192,13,4,1,"Near",32
1102,1,6,4,39,41,31,1734335877188,14,4,2,"Far",39
1102,1,6,5,47,42,32,1734335877817,15,4,1,"Near",41
1102,1,7,5,48,45,34,1734335878363,16,4,1,"Near",42
1102,1,7,4,40,51,38,1734335879820,17,4,1,"Near",45
1102,1,7,6,56,24,20,1734335880690,18,4,2,"Far",51
1102,1,6,6,55,25,21,1734335881368,19,4,1,"Near",24
1102,1,0,7,57,19,17,1734335885550,20,4,7,"Far",25
1102,1,7,4,40,49,36,1734335887062,21,4,10,"Far",19
1102,1,7,1,16,17,16,1734335888262,22,4,3,"Far",49
1102,1,7,0,8,-1,4,1734335888952,23,4,1,"Near",17
1102,1,6,1,15,28,23,1734335889665,24,4,2,"Far",-1
1102,1,5,4,38,42,32,1734335890641,25,4,4,"Far",28
1102,1,6,6,55,11,12,1734335891613,0,5,NA,NA,NA
1102,1,2,1,11,23,19,1734335892871,1,5,9,"Far",11
1102,1,2,3,27,-1,4,1734335893997,2,5,2,"Far",23
1102,1,5,4,38,15,14,1734335895374,3,5,4,"Far",-1
1102,1,5,2,22,24,19,1734335896191,4,5,2,"Far",15
1102,1,6,3,31,28,22,1734335897001,5,5,2,"Far",24
1102,1,6,5,47,15,14,1734335898293,6,5,2,"Far",28
1102,1,4,4,37,10,11,1734335899017,7,5,3,"Far",15
1102,1,1,6,50,10,11,1734335900143,8,5,5,"Far",10
1102,1,1,5,42,10,11,1734335900806,9,5,1,"Near",10
1102,1,0,5,41,10,11,1734335901430,10,5,1,"Near",10
1102,1,0,6,49,2,6,1734335902074,11,5,1,"Near",10
1102,1,0,0,1,16,15,1734335903236,12,5,6,"Far",2
1102,1,6,0,7,32,24,1734335904315,13,5,6,"Far",16
1102,1,6,1,15,27,21,1734335905029,14,5,1,"Near",32
1102,1,6,2,23,25,20,1734335905773,15,5,1,"Near",27
1102,1,7,1,16,20,17,1734335906515,16,5,2,"Far",25
1102,1,7,0,8,9,10,1734335907199,17,5,1,"Near",20
1102,1,4,7,61,14,13,1734335909064,18,5,10,"Far",9
1102,1,3,7,60,40,29,1734335909672,19,5,1,"Near",14
1102,1,3,6,52,27,21,1734335910568,20,5,1,"Near",40
1102,1,3,5,44,15,14,1734335911409,21,5,1,"Near",27
1102,1,3,1,12,19,16,1734335912885,22,5,4,"Far",15
1102,1,1,2,18,14,13,1734335913813,23,5,3,"Far",19
1102,1,0,2,17,30,23,1734335914503,24,5,1,"Near",14
1102,1,0,3,25,27,21,1734335915228,25,5,1,"Near",30
1102,1,5,0,6,31,29,1734335916573,0,6,NA,NA,NA
1102,1,2,3,27,20,21,1734335917459,1,6,6,"Far",31
1102,1,2,6,51,25,25,1734335918801,2,6,3,"Far",20
1102,1,5,6,54,1,6,1734335919805,3,6,3,"Far",25
1102,1,6,5,47,9,12,1734335920981,4,6,2,"Far",1
1102,1,7,2,24,24,24,1734335922373,5,6,4,"Far",9
1102,1,0,2,17,42,38,1734335923436,6,6,7,"Far",24
1102,1,0,3,25,34,32,1734335924383,7,6,1,"Near",42
1102,1,0,4,33,22,22,1734335925194,8,6,1,"Near",34
1102,1,0,1,9,41,37,1734335926117,9,6,3,"Far",22
1102,1,0,0,1,34,32,1734335927074,10,6,1,"Near",41
1102,1,1,1,10,48,42,1734335927901,11,6,2,"Far",34
1102,1,1,2,18,38,35,1734335928622,12,6,1,"Near",48
1102,1,1,3,26,29,28,1734335929400,13,6,1,"Near",38
1102,1,2,1,11,50,44,1734335930324,14,6,3,"Far",29
1102,1,2,2,19,40,36,1734335931227,15,6,1,"Near",50
1102,1,3,2,20,28,27,1734335931922,16,6,1,"Near",40
1102,1,3,1,12,36,33,1734335932620,17,6,1,"Near",28
1102,1,3,0,4,37,34,1734335933369,18,6,1,"Near",36
1102,1,2,0,3,36,33,1734335934012,19,6,1,"Near",37
1102,1,2,1,11,50,44,1734335934644,20,6,1,"Near",36
1102,1,2,1,11,49,43,1734335935450,21,6,0,"Repeat",50
1102,1,2,1,11,49,43,1734335936274,22,6,0,"Repeat",49
1102,1,2,1,11,50,44,1734335937163,23,6,0,"Repeat",49
1102,1,2,1,11,50,44,1734335938039,24,6,0,"Repeat",50
1102,1,2,1,11,49,43,1734335938832,25,6,0,"Repeat",50
1102,1,7,0,8,13,14,1734335940103,0,7,NA,NA,NA
1102,1,2,3,27,31,27,1734335941396,1,7,8,"Far",13
1102,1,2,5,43,44,37,1734335942472,2,7,2,"Far",31
1102,1,4,5,45,35,30,1734335943579,3,7,2,"Far",44
1102,1,4,6,53,37,32,1734335944486,4,7,1,"Near",35
1102,1,2,7,59,5,9,1734335945331,5,7,3,"Far",37
1102,1,1,5,42,38,32,1734335946152,6,7,3,"Far",5
1102,1,0,4,33,43,36,1734335946896,7,7,2,"Far",38
1102,1,0,2,17,34,29,1734335947669,8,7,2,"Far",43
1102,1,2,2,19,32,28,1734335948369,9,7,2,"Far",34
1102,1,2,1,11,25,23,1734335949191,10,7,1,"Near",32
1102,1,1,0,2,21,20,1734335949945,11,7,2,"Far",25
1102,1,3,0,4,0,5,1734335950729,12,7,2,"Far",21
1102,1,4,2,21,8,11,1734335951619,13,7,3,"Far",0
1102,1,5,4,38,37,32,1734335952520,14,7,3,"Far",8
1102,1,6,3,31,34,29,1734335953266,15,7,2,"Far",37
1102,1,6,5,47,11,13,1734335954159,16,7,2,"Far",34
1102,1,3,6,52,29,26,1734335955159,17,7,4,"Far",11
1102,1,3,5,44,47,39,1734335955900,18,7,1,"Near",29
1102,1,3,4,36,37,32,1734335956651,19,7,1,"Near",47
1102,1,4,4,37,31,27,1734335957444,20,7,1,"Near",37
1102,1,3,3,28,31,27,1734335958250,21,7,2,"Far",31
1102,1,2,4,35,34,29,1734335958955,22,7,2,"Far",31
1102,1,1,4,34,36,31,1734335959714,23,7,1,"Near",34
1102,1,0,5,41,37,32,1734335960542,24,7,2,"Far",36
1102,1,2,6,51,20,19,1734335961444,25,7,3,"Far",37
1102,1,2,6,51,36,32,1734335962531,0,8,NA,NA,NA
1102,1,4,5,45,34,31,1734335963285,1,8,3,"Far",36
1102,1,3,4,36,37,33,1734335964117,2,8,2,"Far",34
1102,1,5,3,30,14,16,1734335964988,3,8,3,"Far",37
1102,1,6,4,39,0,5,1734335965763,4,8,2,"Far",14
1102,1,6,6,55,24,23,1734335966500,5,8,2,"Far",0
1102,1,3,6,52,38,34,1734335967611,6,8,3,"Far",24
1102,1,2,4,35,39,35,1734335968443,7,8,3,"Far",38
1102,1,1,4,34,32,29,1734335969042,8,8,1,"Near",39
1102,1,0,4,33,31,29,1734335969651,9,8,1,"Near",32
1102,1,2,3,27,42,37,1734335970471,10,8,3,"Far",31
1102,1,2,1,11,33,30,1734335971244,11,8,2,"Far",42
1102,1,3,2,20,33,30,1734335971897,12,8,2,"Far",33
1102,1,3,3,28,40,35,1734335972545,13,8,1,"Near",33
1102,1,2,2,19,38,34,1734335973148,14,8,2,"Far",40
1102,1,1,3,26,39,35,1734335973799,15,8,2,"Far",38
1102,1,1,2,18,36,32,1734335974474,16,8,1,"Near",39
1102,1,1,5,42,30,28,1734335975515,17,8,3,"Far",36
1102,1,2,5,43,37,33,1734335976100,18,8,1,"Near",30
1102,1,3,5,44,40,35,1734335976693,19,8,1,"Near",37
1102,1,2,3,27,39,35,1734335977519,20,8,3,"Far",40
1102,1,2,3,27,41,36,1734335979209,21,8,0,"Repeat",39
1102,1,2,3,27,42,37,1734335980288,22,8,0,"Repeat",41
1102,1,1,7,58,37,33,1734335981495,23,8,5,"Far",42
1102,1,0,7,57,42,37,1734335982120,24,8,1,"Near",37
1102,1,0,6,49,42,37,1734335982713,25,8,1,"Near",42
1102,1,3,2,20,39,35,1734335984014,0,9,NA,NA,NA
1102,1,3,4,36,36,32,1734335985589,1,9,2,"Far",39
1102,1,2,2,19,36,32,1734335986669,2,9,3,"Far",36
1102,1,3,1,12,25,24,1734335987663,3,9,2,"Far",36
1102,1,5,2,22,41,36,1734335988566,4,9,3,"Far",25
1102,1,6,3,31,27,26,1734335989553,5,9,2,"Far",41
1102,1,6,2,23,11,13,1734335990130,6,9,1,"Near",27
1102,1,6,1,15,10,13,1734335990740,7,9,1,"Near",11
1102,1,5,1,14,39,35,1734335991359,8,9,1,"Near",10
1102,1,5,3,30,33,30,1734335992070,9,9,2,"Far",39
1102,1,4,2,21,49,42,1734335992758,10,9,2,"Far",33
1102,1,4,3,29,32,29,1734335993968,11,9,1,"Near",49
1102,1,4,1,13,40,35,1734335994721,12,9,2,"Far",32
1102,1,4,2,21,50,43,1734335995816,13,9,1,"Near",40
1102,1,3,3,28,32,29,1734335996774,14,9,2,"Far",50
1102,1,2,3,27,35,32,1734335997528,15,9,1,"Near",32
1102,1,4,2,21,49,42,1734335998353,16,9,3,"Far",35
1102,1,4,2,21,48,41,1734335999079,17,9,0,"Repeat",49
1102,1,4,2,21,49,42,1734335999836,18,9,0,"Repeat",48
1102,1,4,2,21,50,43,1734336001336,19,9,0,"Repeat",49
1102,1,4,4,37,29,27,1734336002065,20,9,2,"Far",50
1102,1,5,4,38,28,26,1734336002672,21,9,1,"Near",29
1102,1,6,4,39,33,30,1734336003274,22,9,1,"Near",28
1102,1,7,4,40,23,22,1734336004066,23,9,1,"Near",33
1102,1,2,4,35,43,38,1734336004922,24,9,5,"Far",23
1102,1,1,3,26,25,24,1734336005837,25,9,2,"Far",43
1102,1,5,1,14,35,27,1734336009255,0,10,NA,NA,NA
1102,1,4,4,37,30,24,1734336011696,1,10,4,"Far",35
1102,1,2,3,27,46,34,1734336012523,2,10,3,"Far",30
1102,1,0,2,17,2,6,1734336013689,3,10,3,"Far",46
1102,1,0,4,33,17,16,1734336014289,4,10,2,"Far",2
1102,1,3,6,52,5,8,1734336015147,5,10,5,"Far",17
1102,1,3,1,12,23,20,1734336016206,6,10,5,"Far",5
1102,1,2,0,3,2,6,1734336016929,7,10,2,"Far",23
1102,1,7,3,32,42,32,1734336017887,8,10,8,"Far",2
1102,1,7,2,24,32,25,1734336018676,9,10,1,"Near",42
1102,1,7,1,16,38,29,1734336019602,10,10,1,"Near",32
1102,1,3,3,28,39,30,1734336020676,11,10,6,"Far",38
1102,1,3,4,36,40,31,1734336021703,12,10,1,"Near",39
1102,1,2,4,35,41,31,1734336022378,13,10,1,"Near",40
1102,1,2,5,43,24,20,1734336023071,14,10,1,"Near",41
1102,1,1,3,26,11,12,1734336024081,15,10,3,"Far",24
1102,1,5,3,30,36,28,1734336441118,16,10,4,"Far",11
1102,1,6,4,39,28,23,1734336442228,17,10,2,"Far",36
1102,1,6,3,31,37,29,1734336443120,18,10,1,"Near",28
1102,1,5,3,30,37,29,1734336444062,19,10,1,"Near",37
1102,1,4,3,29,35,27,1734336444972,20,10,1,"Near",37
1102,1,4,2,21,37,29,1734336445678,21,10,1,"Near",35
1102,1,4,1,13,28,23,1734336446552,22,10,1,"Near",37
1102,1,4,0,5,27,22,1734336447188,23,10,1,"Near",28
1102,1,5,5,46,26,22,1734336448137,24,10,6,"Far",27
1102,1,5,6,54,27,22,1734336448700,25,10,1,"Near",26
111,1,3,3,28,19,18,1719326137207,0,1,NA,NA,NA
111,1,3,3,28,19,18,1719326203188,1,1,0,"Repeat",19
111,1,3,4,36,26,22,1719326206449,2,1,1,"Near",19
111,1,4,5,45,32,26,1719326212896,3,1,2,"Far",26
111,1,5,6,54,50,38,1719326221585,4,1,2,"Far",32
111,1,6,7,63,13,14,1719326225343,5,1,2,"Far",50
111,1,1,4,34,21,19,1719326230221,6,1,8,"Far",13
111,1,6,6,55,22,20,1719326241823,7,1,7,"Far",21
111,1,5,5,46,39,31,1719326244789,8,1,2,"Far",22
111,1,5,6,54,51,39,1719326251179,9,1,1,"Near",39
111,1,4,3,29,-1,4,1719326256221,10,1,4,"Far",51
111,1,4,3,29,1,6,1719326257597,11,1,0,"Repeat",-1
111,1,4,3,29,1,6,1719326258562,12,1,0,"Repeat",1
111,1,3,4,36,25,22,1719326260701,13,1,2,"Far",1
111,1,4,4,37,12,13,1719326264592,14,1,1,"Near",25
111,1,5,3,30,0,5,1719326270770,15,1,2,"Far",12
111,1,4,6,53,39,31,1719326277784,16,1,4,"Far",0
111,1,6,6,55,23,20,1719326281163,17,1,2,"Far",39
111,1,7,6,56,9,11,1719326282972,18,1,1,"Near",23
111,1,5,6,54,50,38,1719326285163,19,1,2,"Far",9
111,1,4,5,45,34,27,1719326286140,20,1,2,"Far",50
111,1,6,5,47,16,16,1719326287500,21,1,2,"Far",34
111,1,5,7,62,30,25,1719326289643,22,1,3,"Far",16
111,1,5,6,54,51,39,1719326293335,23,1,1,"Near",30
111,1,5,6,54,50,38,1719326294476,24,1,0,"Repeat",51
111,1,5,6,54,50,38,1719326296331,25,1,0,"Repeat",50
111,1,6,1,15,39,28,1719326348252,0,2,NA,NA,NA
111,1,7,1,16,34,25,1719326504891,1,2,1,"Near",39
111,1,6,1,15,41,30,1719326506909,2,2,1,"Near",34
111,1,6,1,15,37,27,1719326508454,3,2,0,"Repeat",41
111,1,6,1,15,40,29,1719326509553,4,2,0,"Repeat",37
111,1,6,1,15,39,28,1719326511536,5,2,0,"Repeat",40
111,1,6,1,15,39,28,1719326511838,6,2,0,"Repeat",39
111,1,6,2,23,44,31,1719326517663,7,2,1,"Near",39
111,1,6,3,31,45,32,1719326521795,8,2,1,"Near",44
111,1,6,4,39,27,21,1719326524422,9,2,1,"Near",45
111,1,7,3,32,39,28,1719326526682,10,2,2,"Far",27
111,1,6,5,47,9,10,1719326529874,11,2,3,"Far",39
111,1,5,2,22,31,24,1719326532699,12,2,4,"Far",9
111,1,6,2,23,43,31,1719326535009,13,2,1,"Near",31
111,1,7,2,24,34,25,1719326536969,14,2,1,"Near",43
111,1,7,4,40,20,17,1719326541519,15,2,2,"Far",34
111,1,6,3,31,43,31,1719326543810,16,2,2,"Far",20
111,1,6,3,31,45,32,1719326544703,17,2,0,"Repeat",43
111,1,5,3,30,40,29,1719326546209,18,2,1,"Near",45
111,1,2,6,51,28,22,1719326550204,19,2,6,"Far",40
111,1,2,6,51,29,22,1719326551128,20,2,0,"Repeat",28
111,1,0,0,1,31,24,1719326553669,21,2,8,"Far",29
111,1,1,0,2,20,17,1719326555976,22,2,1,"Near",31
111,1,7,7,64,14,13,1719326559550,23,2,13,"Far",20
111,1,5,4,38,25,20,1719326564891,24,2,5,"Far",14
111,1,5,4,38,27,21,1719326565261,25,2,0,"Repeat",25
111,1,3,3,28,19,19,1719326572597,0,3,NA,NA,NA
111,1,7,3,32,27,25,1719326577977,1,3,4,"Far",19
111,1,7,4,40,17,18,1719326580834,2,3,1,"Near",27
111,1,4,3,29,29,26,1719326583046,3,3,4,"Far",17
111,1,5,3,30,35,31,1719326585176,4,3,1,"Near",29
111,1,5,3,30,36,32,1719326585312,5,3,0,"Repeat",35
111,1,6,3,31,34,30,1719326587105,6,3,1,"Near",36
111,1,5,4,38,39,34,1719326588918,7,3,2,"Far",34
111,1,6,4,39,36,32,1719326591763,8,3,1,"Near",39
111,1,4,4,37,32,29,1719326593506,9,3,2,"Far",36
111,1,5,5,46,41,35,1719326595100,10,3,2,"Far",32
111,1,5,6,54,33,29,1719326596945,11,3,1,"Near",41
111,1,6,5,47,33,29,1719326598559,12,3,2,"Far",33
111,1,7,7,64,1,6,1719326601958,13,3,3,"Far",33
111,1,6,6,55,21,21,1719326603337,14,3,2,"Far",1
111,1,0,0,1,28,26,1719326605630,15,3,12,"Far",21
111,1,3,0,4,15,16,1719326621040,16,3,3,"Far",28
111,1,1,0,2,50,42,1719326625373,17,3,2,"Far",15
111,1,2,0,3,34,30,1719326630249,18,3,1,"Near",50
111,1,2,0,3,32,29,1719326630522,19,3,0,"Repeat",34
111,1,1,1,10,38,33,1719326632429,20,3,2,"Far",32
111,1,0,7,57,20,20,1719326635521,21,3,7,"Far",38
111,1,7,0,8,45,38,1719326638279,22,3,14,"Far",20
111,1,7,1,16,46,39,1719326640838,23,3,1,"Near",45
111,1,7,2,24,41,35,1719326642932,24,3,1,"Near",46
111,1,5,7,62,15,16,1719326647843,25,3,7,"Far",41
111,1,5,6,54,13,15,1719326650924,0,4,NA,NA,NA
111,1,0,0,1,32,31,1719326656295,1,4,11,"Far",13
111,1,1,0,2,38,35,1719326657859,2,4,1,"Near",32
111,1,2,0,3,43,39,1719326659391,3,4,1,"Near",38
111,1,3,0,4,31,30,1719326660894,4,4,1,"Near",43
111,1,0,5,41,31,30,1719326666086,5,4,8,"Far",31
111,1,1,5,42,14,16,1719326667830,6,4,1,"Near",31
111,1,0,6,49,21,22,1719326671203,7,4,2,"Far",14
111,1,7,7,64,38,35,1719326674875,8,4,8,"Far",21
111,1,7,0,8,10,13,1719326677870,9,4,7,"Far",38
111,1,7,6,56,13,15,1719326680217,10,4,6,"Far",10
111,1,6,7,63,29,28,1719326681827,11,4,2,"Far",13
111,1,5,7,62,18,19,1719326683956,12,4,1,"Near",29
111,1,5,3,30,48,43,1719326686187,13,4,4,"Far",18
111,1,6,3,31,41,38,1719326691282,14,4,1,"Near",48
111,1,4,3,29,29,28,1719326692988,15,4,2,"Far",41
111,1,5,4,38,30,29,1719326694464,16,4,2,"Far",29
111,1,5,3,30,46,42,1719326697492,17,4,1,"Near",30
111,1,5,3,30,48,43,1719326698903,18,4,0,"Repeat",46
111,1,5,3,30,48,43,1719326700810,19,4,0,"Repeat",48
111,1,5,2,22,39,36,1719326702323,20,4,1,"Near",48
111,1,6,3,31,41,38,1719326704200,21,4,2,"Far",39
111,1,6,3,31,40,37,1719326705269,22,4,0,"Repeat",41
111,1,6,3,31,41,38,1719326706309,23,4,0,"Repeat",40
111,1,6,2,23,34,32,1719326707615,24,4,1,"Near",41
111,1,6,4,39,24,24,1719326709311,25,4,2,"Far",34
111,1,7,4,40,37,27,1719326711460,0,5,NA,NA,NA
111,1,0,7,57,7,9,1719326714766,1,5,10,"Far",37
111,1,7,0,8,19,16,1719326717196,2,5,14,"Far",7
111,1,0,0,1,5,8,1719326719127,3,5,7,"Far",19
111,1,3,3,28,-2,4,1719326721153,4,5,6,"Far",5
111,1,6,4,39,45,32,1719326726376,5,5,4,"Far",-2
111,1,6,5,47,34,25,1719326729190,6,5,1,"Near",45
111,1,6,3,31,34,25,1719326731566,7,5,2,"Far",34
111,1,7,5,48,26,21,1719326733327,8,5,3,"Far",34
111,1,7,5,48,26,21,1719326733737,9,5,0,"Repeat",26
111,1,7,7,64,28,22,1719326735313,10,5,2,"Far",26
111,1,4,2,21,21,18,1719326737872,11,5,8,"Far",28
111,1,4,2,21,23,19,1719326738246,12,5,0,"Repeat",21
111,1,4,5,45,48,34,1719326740311,13,5,3,"Far",23
111,1,4,4,37,19,16,1719326742039,14,5,1,"Near",48
111,1,4,4,37,21,18,1719326742343,15,5,0,"Repeat",19
111,1,4,6,53,33,25,1719326744019,16,5,2,"Far",21
111,1,3,5,44,43,31,1719326746882,17,5,2,"Far",33
111,1,2,5,43,42,30,1719326749507,18,5,1,"Near",43
111,1,0,5,41,16,15,1719326752565,19,5,2,"Far",42
111,1,1,5,42,26,21,1719326754109,20,5,1,"Near",16
111,1,4,0,5,25,20,1719326757485,21,5,8,"Far",26
111,1,0,3,25,33,25,1719326759543,22,5,7,"Far",25
111,1,1,3,26,30,23,1719326761685,23,5,1,"Near",33
111,1,1,7,58,18,16,1719326765510,24,5,4,"Far",30
111,1,4,7,61,15,14,1719326767851,25,5,3,"Far",18
111,1,0,4,33,41,32,1719326770095,0,6,NA,NA,NA
111,1,1,4,34,29,24,1719326773802,1,6,1,"Near",41
111,1,0,3,25,31,25,1719326775561,2,6,2,"Far",29
111,1,0,5,41,31,25,1719326777339,3,6,2,"Far",31
111,1,0,5,41,32,26,1719326777626,4,6,0,"Repeat",31
111,1,7,0,8,11,12,1719326780416,5,6,12,"Far",32
111,1,7,0,8,12,13,1719326780721,6,6,0,"Repeat",11
111,1,7,7,64,32,26,1719326782106,7,6,7,"Far",12
111,1,7,7,64,31,25,1719326782429,8,6,0,"Repeat",32
111,1,2,4,35,19,18,1719326784285,9,6,8,"Far",31
111,1,2,4,35,20,18,1719326784622,10,6,0,"Repeat",19
111,1,0,2,17,39,31,1719326786047,11,6,4,"Far",20
111,1,0,2,17,41,32,1719326786287,12,6,0,"Repeat",39
111,1,0,1,9,37,29,1719326787478,13,6,1,"Near",41
111,1,0,1,9,37,29,1719326787781,14,6,0,"Repeat",37
111,1,1,1,10,31,25,1719326788791,15,6,1,"Near",37
111,1,1,1,10,31,25,1719326789097,16,6,0,"Repeat",31
111,1,0,0,1,15,15,1719326790376,17,6,2,"Far",31
111,1,0,0,1,15,15,1719326790650,18,6,0,"Repeat",15
111,1,1,2,18,42,33,1719326791816,19,6,3,"Far",15
111,1,2,2,19,32,26,1719326793141,20,6,1,"Near",42
111,1,2,2,19,30,25,1719326793430,21,6,0,"Repeat",32
111,1,1,3,26,31,25,1719326795377,22,6,2,"Far",30
111,1,2,3,27,16,16,1719326796928,23,6,1,"Near",31
111,1,1,3,26,29,24,1719326798078,24,6,1,"Near",16
111,1,1,3,26,28,23,1719326798397,25,6,0,"Repeat",29
111,1,7,6,56,43,33,1719326800631,0,7,NA,NA,NA
111,1,7,7,64,51,38,1719326803422,1,7,1,"Near",43
111,1,6,7,63,40,31,1719326806486,2,7,1,"Near",51
111,1,6,7,63,38,29,1719326806849,3,7,0,"Repeat",40
111,1,6,6,55,23,20,1719326808034,4,7,1,"Near",38
111,1,6,7,63,40,31,1719326809357,5,7,1,"Near",23
111,1,7,5,48,43,33,1719326811520,6,7,3,"Far",40
